Seat L1,Seat L2,Seat L3,Seat L4,sum
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
241.0,435.0,412.0,179.0,1267.0
242.0,435.0,412.0,179.0,1268.0
242.0,435.0,412.0,179.0,1268.0
242.0,435.0,412.0,179.0,1268.0
242.0,435.0,412.0,179.0,1268.0
242.0,435.0,412.0,179.0,1268.0
242.0,435.0,412.0,179.0,1268.0
242.0,435.0,412.0,179.0,1268.0
242.0,435.0,412.0,179.0,1268.0
242.0,435.0,412.0,179.0,1268.0
242.0,435.0,412.0,179.0,1268.0
242.0,435.0,412.0,179.0,1268.0
242.0,435.0,412.0,179.0,1268.0
242.0,435.0,412.0,179.0,1268.0
242.0,435.0,412.0,179.0,1268.0
242.0,435.0,412.0,179.0,1268.0
242.0,435.0,412.0,179.0,1268.0
242.0,435.0,412.0,179.0,1268.0
242.0,435.0,412.0,179.0,1268.0
242.0,435.0,412.0,179.0,1268.0
242.0,435.0,413.0,179.0,1269.0
242.0,435.0,413.0,179.0,1269.0
242.0,435.0,413.0,179.0,1269.0
242.0,435.0,413.0,179.0,1269.0
242.0,435.0,413.0,179.0,1269.0
242.0,435.0,413.0,179.0,1269.0
242.0,435.0,413.0,179.0,1269.0
242.0,435.0,413.0,179.0,1269.0
242.0,435.0,413.0,179.0,1269.0
242.0,435.0,413.0,179.0,1269.0
242.0,435.0,413.0,179.0,1269.0
242.0,435.0,413.0,179.0,1269.0
242.0,435.0,413.0,179.0,1269.0
242.0,435.0,413.0,179.0,1269.0
242.0,435.0,413.0,179.0,1269.0
242.0,435.0,413.0,179.0,1269.0
242.0,435.0,413.0,179.0,1269.0
242.0,435.0,413.0,179.0,1269.0
242.0,435.0,413.0,179.0,1269.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
241.0,435.0,413.0,179.0,1268.0
